Guangdong|广东省|粤|
Beijing|北京市|京|
Tianjin|天津市|津|
Shanghai|上海市|沪|
Chongqing|重庆市|渝|
InnerMongolia|内蒙古自治区|蒙|
Sinkiang|新疆维吾尔自治区|新|
Xizang|西藏自治区|藏|
Ningxia|宁夏回族自治区|宁|
Guangxi|广西壮族自治区|桂|
Heilongjiang|黑龙江省|黑|
Jilin|吉林省|吉|
Liaoning|辽宁省|辽|
Hebei|河北省|冀|
Shanxi|山西省|晋|
Qinghai|青海省|青|
Shandong|山东省|鲁|
Henan|河南省|豫|
Jiangsu|江苏省|苏|
Anhui|安徽省|皖|
Zhejiang|浙江省|浙|
Fujian|福建省|闽|
Jiangxi|江西省|赣|
Hunan|湖南省|湘|
Hubei|湖北省|鄂|
Hainan|海南省|琼|
Gansu|甘肃省|甘|
Shaanxi|陕西省|陕|
Sichuan|四川省|川|
Guizhou|贵州省|贵|
Yunnan|云南省|云|
